Team	1	2	3	4	5	6	7	8	9
Curmudgeonly SchlossBot	126	83.5	99.5	81.5	79	81.5	88	118.5	95
20% Effort 80% victory	69	90.5	116.5	113.5	107	151	123	124	111.5
Team USA	81.5	83	111.5	124.5	93.5	91.5	89	102.5	89.5
Team McCrone	72	99	67	103.5	71.5	73	68	107	86.5
Team U-MICHed me!	97	95	66	89.5	116	104	104.5	149	137.5
Flossin' RARAs	117	127	96	122	122.5	93.5	100.5	115	104
Free Lunch	97.5	85	76	131	110	138	153	107	111.5
Jhansi, def not Matt	92	121	80	104	98	88	65.5	41	98
Tibber Domination	124.5	129.5	124.5	80.5	103	133	110	104	109
Team Didit4thelulz	139	60.5	126.5	137	128.5	80	103	113.5	89
